class,taxon,common_name,train_primary_count,no_train_primary,positives,positive_sites,n_positive_sites,anchor_auc,v616_auc,candidate_auc,raw_sidecar_auc,lift_vs_v616,lift_vs_anchor,raw_lift_vs_v616,positive_mean_delta_vs_v616,negative_mean_delta_vs_v616
47158son13,Insecta,Insect sonotype13,0,1,24,S08,1,0.9999999999999999,1.0,1.0,1.0,0.0,1.1102230246251565e-16,0.0,-3.228585043757448e-08,0.021845363080501556
1491113,Amphibia,Guaraní leaf-litter frog,0,1,26,"S03,S13",2,0.99953095684803,0.9995309568480301,0.9995309568480301,1.0,0.0,1.1102230246251565e-16,0.00046904315196993895,0.00010893436410697177,-0.0013973755994811654
47158son11,Insecta,Insect sonotype11,0,1,12,S08,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-3.476937493473997e-08,0.011976571753621101
22961,Amphibia,Pointedbelly Frog,6,0,12,S13,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-5.4637592228345966e-08,-0.00029871371225453913
24279,Amphibia,Lesser Snouted Tree Frog,46,0,2,S18,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-5.960464477539063e-08,0.0008687719237059355
47158son08,Insecta,Insect sonotype08,0,1,12,S08,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-3.973643103449831e-08,0.01580522395670414
47158son05,Insecta,Insect sonotype05,0,1,1,S08,1,0.9894179894179894,0.9894179894179894,0.9894179894179894,1.0,0.0,0.0,0.010582010582010581,0.0006666183471679688,0.011871235445141792
47158son15,Insecta,Insect sonotype15,0,1,12,S08,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-4.470348358154297e-08,0.01210953388363123
47158son03,Insecta,Insect sonotype03,0,1,12,S08,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-2.9802322387695312e-08,0.003112340811640024
47158son01,Insecta,Insect sonotype01,0,1,12,S08,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-4.470348358154297e-08,0.014825821854174137
litnig1,Aves,Little Nightjar,109,0,20,S22,1,0.9991176470588234,0.9991176470588234,0.9991176470588236,0.9961764705882352,1.1102230246251565e-16,1.1102230246251565e-16,-0.002941176470588225,-0.0002250284014735371,-1.8646787793841213e-05
47158son25,Insecta,Insect sonotype25,0,1,48,S08,1,0.9989730046948357,0.9989730046948357,0.9991197183098591,1.0,0.0001467136150233861,0.0001467136150233861,0.0010269953051642577,0.00017703697085380554,0.007889658212661743
47158son21,Insecta,Insect sonotype21,0,1,22,S08,1,0.9981060606060607,0.9981060606060607,0.9983766233766234,0.996482683982684,0.00027056277056269895,0.00027056277056269895,-0.0016233766233766378,-0.00012125481589464471,0.005569922272115946
nacnig1,Aves,Nacunda Nighthawk,18,0,11,S22,1,0.9989842559674962,0.9989842559674962,0.9994921279837481,0.9984763839512443,0.000507872016251909,0.000507872016251909,-0.000507872016251909,1.5112486835278105e-05,0.01189197227358818
65377,Amphibia,Lesser Tree Frog,46,0,9,S13,1,0.988950276243094,0.9987722529158993,0.9993861264579498,0.9993861264579497,0.0006138735420504471,0.010435850214855824,0.0006138735420503361,0.0006851752405054867,-0.0033200050238519907
47158son10,Insecta,Insect sonotype10,0,1,8,S08,1,0.994162087912088,0.9938186813186813,0.9945054945054944,0.9951923076923076,0.0006868131868130734,0.00034340659340637014,0.0013736263736262577,0.00020829588174819946,0.002179470146074891
22973,Amphibia,Whistling Grass Frog,63,0,56,"S03,S22",2,0.998001066098081,0.998001066098081,0.9990671641791045,0.9986673773987207,0.0010660980810234255,0.0010660980810234255,0.0006663113006396548,3.864935570163652e-05,0.008937793783843517
517063,Amphibia,Southern Orange-legged Leaf Frog,0,1,55,"S03,S13,S18,S22",4,0.98,0.9799326599326599,0.981010101010101,0.9699663299663299,0.0010774410774411214,0.0010101010101010166,-0.009966329966329956,-0.003927319776266813,-0.001172852935269475
47158son17,Insecta,Insect sonotype17,0,1,43,S08,1,0.99359278595159,0.993671887359595,0.9950957127036861,0.9968359436797974,0.0014238253440911341,0.0015029267520961787,0.0031640563202024463,0.0004224472213536501,0.013592959381639957
trsowl,Aves,Tropical Screech Owl,491,0,13,S22,1,0.9774011299435028,0.9778357235984355,0.9804432855280313,0.9800086918730987,0.0026075619295957697,0.003042155584528472,0.0021729682746631784,-0.0001538854412501678,-0.0005857083015143871
chacha1,Aves,Chaco Chachalaca,99,0,22,"S08,S09,S22",3,0.9772727272727273,0.9783549783549784,0.9816017316017316,0.9751082251082251,0.0032467532467531646,0.0043290043290042934,-0.0032467532467532756,0.00023481249809265137,0.009141849353909492
116570,Reptilia,Southern Spectacled Caiman,1,0,10,S08,1,0.9755555555555555,0.9830555555555556,0.9877777777777779,0.9561111111111111,0.004722222222222294,0.012222222222222356,-0.026944444444444438,-0.003566700266674161,0.011135164648294449
bunibi1,Aves,Buff-necked Ibis,174,0,2,S22,1,0.9946808510638299,0.9946808510638299,1.0,1.0,0.005319148936170137,0.005319148936170137,0.005319148936170137,0.005833297967910767,-0.005802324507385492
undtin1,Aves,Undulated Tinamou,204,0,5,S22,1,0.9854054054054054,0.9881081081081081,1.0,0.9978378378378379,0.011891891891891881,0.014594594594594557,0.009729729729729741,0.009866630658507347,0.010608089156448841
555146,Amphibia,Chaco Tree Frog,18,0,5,"S18,S22",2,0.9297297297297298,0.9427027027027027,0.9654054054054054,0.9956756756756757,0.022702702702702693,0.035675675675675644,0.05297297297297299,0.006866657640784979,-0.009140565060079098
strher2,Aves,Striated Heron,164,0,2,S22,1,0.9361702127659575,0.9361702127659574,0.973404255319149,0.9946808510638298,0.037234042553191626,0.037234042553191515,0.0585106382978724,0.00974997878074646,-0.009139206260442734
